_id,Term,First Name,Last Name,Committee,MTG #,Session Date,Session Type,Session Start-End Time,Present
1,2022-2026,Paula,Fletcher,CreateTO,1,2022-11-18,Morning,09:31AM - 09:50AM,N
2,2022-2026,Paul,Ainslie,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
3,2022-2026,Brad,Bradford,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
4,2022-2026,Alejandra,Bravo,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
5,2022-2026,Jon,Burnside,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
6,2022-2026,Shelley,Carroll,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
7,2022-2026,Lily,Cheng,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
8,2022-2026,Mike,Colle,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
9,2022-2026,Gary,Crawford,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
10,2022-2026,Vincent,Crisanti,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
11,2022-2026,Paula,Fletcher,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
12,2022-2026,Stephen,Holyday,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
13,2022-2026,Ausma,Malik,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
14,2022-2026,Nick,Mantas,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
15,2022-2026,Josh,Matlow,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
16,2022-2026,Jennifer,McKelvie,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
17,2022-2026,Chris,Moise,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
18,2022-2026,Amber,Morley,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
19,2022-2026,Jamaal,Myers,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
20,2022-2026,Frances,Nunziata,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
21,2022-2026,James,Pasternak,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
22,2022-2026,Gord,Perks,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
23,2022-2026,Anthony,Perruzza,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
24,2022-2026,Jaye,Robinson,City Council,1,2022-11-23,Afternoon,14:03PM - 15:25PM,Y
